,,2030,2030,2037,2037,2045,2045,2050,2050
,,min,max,min,max,min,max,min,max
country,carrier,,,,,,,,
DE,onwind,0.1,,158500,158500,160000,160000,0.1,
DE,offwind-all,0.1,,60400,60400,75500,75500,0.1,
DE,solar,0.2,,207000,207000,240000,240000,0.2,
DE,solar rooftop,0.2,,138000,138000,160000,160000,0.2,
LU,onwind,,,,,,,,
LU,solar,,,,,,,,
NL,onwind,,,,,,,,
NL,offwind-ac,,,,,,,,
NL,offwind-dc,,,,,,,,
NL,solar,,,,,,,,
GB,onwind,,,,,,,,
GB,offwind-ac,,,,,,,,
GB,offwind-dc,,,,,,,,
GB,solar,,,,,,,,
IE,onwind,,,,,,,,
IE,offwind-ac,,,,,,,,
IE,offwind-dc,,,,,,,,
IE,solar,,,,,,,,
FR,onwind,,,,,,,,
FR,offwind-ac,,,,,,,,
FR,offwind-dc,,,,,,,,
FR,solar,,,,,,,,
DK,onwind,,,,,,,,
DK,offwind-ac,,,,,,,,
DK,offwind-dc,,,,,,,,
DK,solar,,,,,,,,
BE,onwind,,,,,,,,
BE,offwind-ac,,,,,,,,
BE,offwind-dc,,,,,,,,
BE,solar,,,,,,,,
